D
80
100
60
135
85
95
72
185
215
83
105
75
65
135
95
65
75
70
80
68
70
75
165
570
270
245
102
90
76
115
115
210
70
100
165
95
77
155
92
65
200
490
35
70
455
50
155
90
110
85
690
90
38
111
75
145
200
150
110
52
95
80
75
66
115
60
75
95
73
120
120
40
42
38
25
28
33
24
36
38
24
35
33
21
32
26
34
48
19
34
15
33
40
41
28
25
