D
77.84
89.65
71.49
76.8
75.5
87.75
56
63.68
55.32
54.27
35.96
37.63
31.9
27.1
24
27.65
26.61
22.8
20.95
18.66
20.26
18.12
12.66
14.95
12.6
11.27
12.35
12.03
10.8
10.24
9.93
9.04
8.1
6.34
7
6.5
6.77
6.45
4.58
5
5.43
4.1
3.51
3.75
3.61
3.92
2.23
2.08
2.15
2.03
1.72
1.76
1.8
1.4
1.28
1.58
1.67
1.58
0.98
0.92
0.92
0.55
0.79
0.55
0.5
0.55
0.52
0.75
0.67
0.54
0.7
0.63
0.67
0.34
0.34
0.41
0.34
0.34
0.46
0.38
0.48
0.44
0.42
0.25
0.28
0.32
0.38
0.28
0.37
0.174
0.225
0.241
0.218
0.216
0.202
0.156
0.168
0.122
0.063
