Date,Q cms,SP,w_est,unit_SP
2017-02-17,143,6944.0085,450.373587686559,15.4183297818804
2017-01-22,44.174208,2145.077453376,212.356648838249,10.1012964044742
2017-02-18,34.829664,1691.311069008,182.391834532374,9.27295387616595
2017-01-23,34.5748128,1678.9356221616,181.536578220711,9.2484701354256
2017-01-20,25.00939776,1214.44385052672,147.551598537497,8.23063838388774
2017-02-19,17.12600064,831.63002807808,115.797094109622,7.18178668016316
2017-02-20,15.26841856,741.42677106432,107.593502585174,6.8909994864921
2017-02-21,13.20695552,641.32315657344,98.0554161027592,6.54041543101864
2016-01-06,12.86715392,624.82256077824,96.4332151728681,6.47932934371389
2016-12-24,12.84450048,623.72252105856,96.3245235678987,6.47522041070778
2017-06-14,8.36195104,406.05216152688,73.1871315975569,5.54813602696837
2017-06-13,8.09010976,392.85168489072,71.6553586533029,5.48251648270288
2017-06-11,7.55492224,366.86324651328,68.5843533782965,5.34908078071017
2017-06-12,7.52660544,365.48819686368,68.4197220056371,5.3418544558478
2017-06-10,7.50112032,364.25065217904,68.2713630277921,5.33533587180265
2017-06-15,7.45864512,362.18807770464,68.0236941606948,5.32443999364443
2017-06-09,7.44165504,361.36304791488,67.9244845180298,5.32007052359684
2017-06-08,7.4048432,359.5754833704,67.7092501031149,5.31058138766564
2017-06-07,7.08769504,344.17492729488,65.83867225082,5.22754963805628
2017-06-06,6.95743776,337.84969890672,65.0617020385547,5.19275838659301
2017-06-01,6.67710144,324.23670737568,63.3715241882578,5.11644167516738
2017-06-05,6.6686064,323.8241924808,63.3199121413346,5.11409731204303
2017-05-31,6.64878464,322.86165772608,63.199391892729,5.10861968852622
2017-06-04,6.62896288,321.89912297136,63.0787422256415,5.10313160366898
2017-06-03,6.55250752,318.18648891744,62.6121572368152,5.08186433688872
2017-06-02,6.505218464,315.890156002608,62.322584671998,5.06863054003824
2017-05-30,5.87290432,285.18529732704,58.3745736413868,4.88543692120173
2017-01-21,5.48213248,266.20961216256,55.8580211525257,4.76582604735762
2017-01-24,4.52785632,219.87043897104,49.4230037895905,4.44874698241933
2017-06-16,4.40043072,213.68271554784,48.5282655554906,4.40326298708328
2017-02-22,4.10310432,199.24469422704,46.4034090034123,4.29375122444966
2017-01-25,3.83126304,186.04421759088,44.4116297025752,4.18908783210206
2016-01-05,2.95627392,143.55518341824,37.6213555211623,3.81578976699787
2017-06-17,2.86282848,139.01751957456,36.8558863321731,3.77192175821331
2017-01-19,2.6688584,129.5984294748,35.2375893368757,3.67784607045116
2017-01-26,2.55134368,123.89197342896,34.2365493620865,3.61870503124236
2018-03-22,2.44657152,118.80428972544,33.329969438546,3.56448840868252
2016-01-07,2.36162112,114.67914077664,32.5845998936714,3.51942761767386
2018-01-09,2.30215584,111.79153651248,32.0570880031448,3.48726423627477
2015-09-15,2.11526496,102.71620882512,30.3662599454394,3.38257688005291
2017-02-23,2.09827488,101.89117903536,30.209933783989,3.37277068410396
2017-05-29,2.09119568,101.54741662296,30.1446634832855,3.36866977066325
2017-06-18,2.08553232,101.27240669304,30.0923899535924,3.36538263824241
2017-02-06,2.00482944,97.35351519168,29.3418440945095,3.31790717986593
2017-02-11,1.80944352,87.86567260944,27.4780980869954,3.19766209186889
2017-02-24,1.80094848,87.45315771456,27.395464866867,3.1922494522197
2016-01-31,1.80094848,87.45315771456,27.395464866867,3.1922494522197
2017-01-09,1.79245344,87.04064281968,27.3126912063535,3.186820447757
2017-01-27,1.742615872,84.620555436384,26.8242084349227,3.15463383166288
2017-02-25,1.6565328,80.4404045016,25.9684408054898,3.09762165176258
2017-02-26,1.58857248,77.14028534256,25.2814716827747,3.05125770803599
2017-01-12,1.5291072,74.2526810784,24.6716460897478,3.00963627673208
2017-02-27,1.46964192,71.36507681424,24.0532203187531,2.96696558167724
2016-03-06,1.46964192,71.36507681424,24.0532203187531,2.96696558167724
2017-02-28,1.39318656,67.65244276032,23.2446914656268,2.91044700938971
2017-03-01,1.3167312,63.9398087064,22.4200207448144,2.85190675932755
2017-01-28,1.273972832,61.863483735504,21.9513055978354,2.81821431804058
2018-03-23,1.26576096,61.46471933712,21.8606431558791,2.81166107048365
2017-02-12,1.24877088,60.63968954736,21.6723905080898,2.79801572995488
2018-03-21,1.2317808,59.8146597576,21.4832135109986,2.78425104917275
2017-03-02,1.22328576,59.40214486272,21.388272971205,2.77732311265584
2017-07-09,1.1468304,55.6895108088,20.5228341307168,2.71353900022263
2017-07-10,1.1468304,55.6895108088,20.5228341307168,2.71353900022263
2017-07-11,1.1468304,55.6895108088,20.5228341307168,2.71353900022263
2017-03-03,1.13833536,55.27699591392,20.425410532725,2.7062856741781
2017-07-12,1.13833536,55.27699591392,20.425410532725,2.7062856741781
2017-07-02,1.12984032,54.86448101904,20.3277248449198,2.69899762209499
2017-07-03,1.12984032,54.86448101904,20.3277248449198,2.69899762209499
2017-07-04,1.12984032,54.86448101904,20.3277248449198,2.69899762209499
2017-07-13,1.12984032,54.86448101904,20.3277248449198,2.69899762209499
2017-07-07,1.12984032,54.86448101904,20.3277248449198,2.69899762209499
2017-07-08,1.12984032,54.86448101904,20.3277248449198,2.69899762209499
2017-07-16,1.12984032,54.86448101904,20.3277248449198,2.69899762209499
2017-07-14,1.12984032,54.86448101904,20.3277248449198,2.69899762209499
2017-07-05,1.12134528,54.45196612416,20.2297743836044,2.69167441473255
2017-07-17,1.12134528,54.45196612416,20.2297743836044,2.69167441473255
2017-06-19,1.11285024,54.03945122928,20.1315564170338,2.68431561424411
