D
1.14
0.33
1.50
0.14
8.81
4.93
6.61
0.41
0.74
2.03
1.12
0.47
3.02
6.10
0.87
3.40
0.12
0.77
6.60
0.43
2.46
0.11
0.27
0.43
4.48
1.36
1.59
0.10
4.00
2.96
1.99
0.58
0.08
8.88
0.36
1.46
3.30
0.67
0.52
1.21
20.93
7.59
6.74
2.20
0.09
7.04
4.06
3.50
0.42
3.06
0.12
6.29
0.29
3.38
2.60
0.46
5.33
6.14
0.61
0.19
0.06
1.25
0.47
0.52
2.82
1.12
12.21
0.49
0.60
1.29
1.54
1.65
6.96
0.34
0.08
0.35
1.92
0.36
0.90
5.71
7.68
0.87
1.38
1.73
3.18
1.20
1.41
0.28
2.26
2.01
1.75
4.17
1.63
1.80
4.29
0.12
1.13
6.11
1.66
0.91
0.57
0.35
2.16
0.10
7.86
2.75
4.68
0.48
1.59
0.24
4.40
1.58
1.85
1.44
6.14
6.24
2.15
2.30
4.40
0.09
0.91
0.31
0.29
2.34
0.13
7.88
0.79
0.09
7.38
0.15
14.98
0.29
3.06
0.20
2.06
0.84
0.07
1.71
3.18
0.67
1.06
1.08
0.09
2.41
0.67
10.58
0.67
3.78
2.09
0.36
0.38
2.44
1.50
0.07
2.40
0.07
1.01
1.70
7.88
0.72
2.70
0.11
0.12
13.12
2.47
0.08
0.78
0.78
0.16
0.39
13.27
0.70
0.11
1.17
1.57
0.81
5.62
3.33
0.36
0.88
0.32
3.41
0.28
0.13
0.58
3.02
0.91
0.54
0.57
3.23
0.35
0.54
1.03
0.29
0.91
0.09
0.09
6.67
0.96
2.18
2.57
1.33
4.00
5.27
14.53
0.07
1.44
0.19
3.40
9.86
1.12
0.26
2.60
3.83
13.84
1.69
1.64
7.04
0.14
2.16
0.07
0.97
1.64
6.93
9.15
0.53
0.32
6.07
0.48
0.30
10.31
2.21
0.07
1.93
0.96
1.90
6.18
8.15
0.53
10.71
2.61
1.69
0.60
0.07
1.05
0.26
1.19
0.41
0.32
2.44
6.48
3.38
0.74
13.34
5.12
0.18
3.81
1.66
4.32
0.96
1.04
2.55
1.25
0.24
0.34
0.51
1.98
5.43
1.45
0.07
0.22
0.11
0.08
0.16
1.91
2.37
0.57
1.21
1.15
0.27
1.00
5.56
2.33
1.54
13.53
2.00
0.60
1.21
0.30
9.01
12.91
0.52
0.12
1.89
6.39
0.29
3.36
1.14
3.02
7.16
9.30
2.05
1.11
0.11
7.86
7.95
5.03
0.32
0.07
7.04
1.13
3.71
1.19
0.36
3.11
0.27
5.50
12.46
8.74
10.18
1.63
5.32
1.38
1.09
0.27
2.24
1.35
0.94
0.63
0.65
1.80
0.71
0.17
3.10
0.28
0.52
0.96
3.66
0.22
0.49
26.63
2.44
9.56
0.16
0.40
0.71
0.48
8.98
3.12
4.99
2.78
1.02
1.93
0.22
1.91
3.48
3.15
0.32
0.37
0.36
1.23
0.06
0.77
0.97
0.60
12.19
7.42
0.13
9.78
1.19
0.29
5.63
0.78
0.71
3.98
11.07
0.17
1.88
0.14
3.08
1.18
3.76
0.50
0.87
2.38
3.76
1.00
5.12
2.36
0.22
2.91
6.16
0.64
0.47
0.81
8.19
0.34
0.65
1.46
2.02
1.59
0.09
3.12
4.06
10.25
0.09
0.73
0.13
3.44
3.35
0.18
1.74
0.33
0.07
0.65
0.15
0.64
0.58
7.82
3.66
