D
177
115
124
101
98
106
50.5
57.7
45.4
45.2
57.1
35.2
39
40
36.4
38.5
29.5
29.8
30.4
25.2
17.7
20.4
19
17.1
20.3
15
12.6
12.8
13.6
12.2
14.8
9.8
8
8.9
8.9
9.9
9.4
7
6.9
7.6
6.2
6
6.4
7.1
7.8
4.49
4.44
4.98
5.27
4.07
5.38
4.97
3.42
3.77
3.23
3.73
3.15
3.58
2.49
2.1
2.17
2.46
2.44
2.63
1.79
1.92
1.08
1.52
1.02
1.85
1.02
1.92
1.16
1.55
0.87
0.89
0.52
0.58
0.53
0.71
0.68
0.73
0.52
0.53
0.7
0.3
0.46
0.35
0.42
0.42
0.36
0.42
0.47
0.26
0.14
0.226
0.153
0.117
0.1
0.093
