Date,Q cms,SP,w_est,unit_SP
2017-02-18,49.5544,4375.157976,85.3748030481176,51.2464781152601
2017-02-17,114,10065.06,127.670348752327,78.8363163284345
2017-02-19,15.57424,1375.0496496,48.8132266501107,28.1696118852426
2017-02-20,12.7708768,1127.540712672,44.3516321937605,25.4227557566782
2017-01-23,10.9869184,970.035025536,41.2427922715283,23.520110354062
2017-02-21,9.0896928,802.528977312,37.634336863931,21.3243820454068
2018-03-23,7.503952,662.52392208,34.3060008791726,19.3121875211699
2017-02-22,5.0120736,442.515978144,28.2301655477384,15.6752881025684
2018-03-24,4.813856,425.01534624,27.6852956907787,15.3516636046463
2017-01-24,4.3324704,382.513811616,26.3116630193601,14.5378044456767
2017-02-13,3.5679168,315.011374272,23.9563864689514,13.1493693625401
2017-02-23,3.5679168,315.011374272,23.9563864689514,13.1493693625401
2017-02-12,3.3413824,295.010652096,23.2092628387626,12.7109014252401
2017-02-08,3.2847488,290.010471552,23.0184219104961,12.5990596870483
2017-02-09,3.1997984,282.510200736,22.7289422667245,12.4295357619699
2018-03-22,2.9449472,260.009388288,21.8358167100279,11.9074725594575
2018-03-25,2.9166304,257.509298016,21.7341528413696,11.8481405691529
2017-02-24,2.75805632,243.5087924928,21.155159958528,11.5106098450765
2017-02-10,2.44657152,216.0077995008,19.9654211174956,10.819095586795
2017-02-25,2.41542304,213.2577002016,19.8422409618838,10.7476620514417
2017-02-11,2.336136,206.25744744,19.5249348963671,10.5637969363154
2017-02-07,2.31065088,204.0073661952,19.4217645101251,10.5040593036151
2017-02-14,2.21437376,195.5070592704,19.026600482339,10.2754593208532
2017-02-26,2.03314624,179.5064815296,18.2578840156006,9.83172427737074
2017-02-27,1.87740384,165.7559850336,17.5684469475548,9.43486840518195
2018-03-26,1.8264336,161.255822544,17.3364303633216,9.30155857720088
2017-02-28,1.59423584,140.7550823136,16.2344616658099,8.6701416536671
2017-01-25,1.53193888,135.2548837152,15.9248964236934,8.49329754597113
2017-02-06,1.46681024,129.5046760896,15.5942183623063,8.30465965531386
2017-02-15,1.42716672,126.0045497088,15.3892085953736,8.18785117687469
2016-11-18,1.41867168,125.2545226272,15.3448963372,8.16261771176329
2016-11-20,1.41867168,125.2545226272,15.3448963372,8.16261771176329
2016-11-17,1.41584,125.0045136,15.3300951137736,8.15419034730499
2016-11-19,1.41584,125.0045136,15.3300951137736,8.15419034730499
2016-11-16,1.41300832,124.7545045728,15.3152785779542,8.1457548380726
2017-11-28,1.41017664,124.5044955456,15.3004466831667,8.13731115984853
2017-11-27,1.40734496,124.2544865184,15.2855993826005,8.12885928829444
2016-11-15,1.40451328,124.0044774912,15.2707366292078,8.12039919895029
2017-11-26,1.40451328,124.0044774912,15.2707366292078,8.12039919895029
2017-11-25,1.4016816,123.754468464,15.2558583757019,8.11193086723356
2018-03-27,1.39884992,123.5044594368,15.2409645745556,8.10345426843834
2016-11-14,1.39601824,123.2544504096,15.2260551779993,8.0949693777345
2017-11-23,1.39601824,123.2544504096,15.2260551779993,8.0949693777345
2017-11-22,1.39318656,123.0044413824,15.2111301380195,8.08647617016678
2016-11-13,1.39035488,122.7544323552,15.1961894063568,8.0779746206539
2017-11-24,1.39035488,122.7544323552,15.1961894063568,8.0779746206539
2017-11-20,1.38469152,122.2544143008,15.1662606737065,8.06094639483224
2017-11-21,1.38469152,122.2544143008,15.1662606737065,8.06094639483224
2016-11-12,1.38185984,122.0044052736,15.1512725749554,8.05241966772281
2017-11-19,1.37902816,121.7543962464,15.1362685889912,8.04388449706512
2016-11-11,1.3733648,121.254378192,15.1062127571075,8.02678872207396
2017-11-18,1.3733648,121.254378192,15.1062127571075,8.02678872207396
2017-11-15,1.36486976,120.5043511104,15.0610086089343,8.00108108555999
2017-11-17,1.36486976,120.5043511104,15.0610086089343,8.00108108555999
2016-11-10,1.36203808,120.2543420832,15.0459082508338,7.99249470875485
2017-11-16,1.36203808,120.2543420832,15.0459082508338,7.99249470875485
2017-11-14,1.35637472,119.7543240288,15.0156587654695,7.9752960492277
2016-11-08,1.35071136,119.2543059744,14.9853439108649,7.95806267001566
2016-11-09,1.35071136,119.2543059744,14.9853439108649,7.95806267001566
2016-11-21,1.34787968,119.0042969472,14.9701618401941,7.94943289308199
2018-01-10,1.26576096,111.7540351584,14.522482806261,7.69524306892073
2017-01-22,1.25160256,110.5039900224,14.4437942521142,7.65062061211687
2017-03-01,1.2459392,110.003971968,14.4121900373132,7.6327034047705
2017-11-29,1.24310752,109.7539629408,14.3963600779182,7.62373005028861
2017-01-26,1.22894912,108.5039178048,14.3169291788416,7.57871443306105
2017-11-13,1.22894912,108.5039178048,14.3169291788416,7.57871443306105
2017-02-16,1.19213728,105.2538004512,14.1081669274406,7.46048731862393
2016-11-07,1.15249376,101.7536740704,13.8795835956648,7.33117628270793
2016-11-22,1.12134528,99.0035747712,13.6971153159498,7.22806025119128
2018-03-28,1.05338496,93.0033581184,13.2896816370298,6.99816298527869
2017-11-30,0.97976128,86.5031234112,12.832642424192,6.74086603146713
2018-01-09,0.97409792,86.0031053568,12.7967611820989,6.72069316079039
2017-11-12,0.94578112,83.5030150848,12.615715331934,6.6189679211792
2015-12-03,0.92879104,82.0029609216,12.505740246224,6.55722566653824
2017-03-02,0.91746432,81.0029248128,12.4318447283969,6.51576066002278
2017-12-11,0.89764256,79.2528616224,12.3013835836796,6.44259737803361
2017-12-10,0.8919792,78.752843568,12.2638360158509,6.42155060343376
2017-12-09,0.88914752,78.5028345408,12.2450160108021,6.41100301310733
