D
40.2
27.34
31.11
28.37
16.22
20.5
16.47
17.38
14.29
13.04
15.27
15.82
14.24
13.59
8.03
10.85
8.77
9.02
10.47
10.16
9.06
9.06
6.99
5.9
5.92
5.6
7.53
7.82
6.74
6.15
6.48
5.46
4.9
4.23
4.13
5.3
4.37
4.14
3.44
3.32
3.41
3.27
3.56
2.95
2.7
2.54
2.42
2.45
1.79
1.28
1.95
1.38
1.2
1.58
1.23
1.63
0.97
0.88
0.93
0.88
0.86
0.9
0.57
0.6
0.79
0.65
0.7
0.69
0.75
0.64
0.75
0.58
0.72
0.75
0.44
0.25
0.33
0.38
0.32
0.43
0.32
0.28
0.35
0.43
0.28
0.42
0.36
0.34
0.198
0.231
0.236
0.179
0.148
0.173
0.208
0.064
0.124
0.099
